exp,ACC_val,cpu_usage,disk_usage,memory_usage,MSE_train,MSE_val,param_batch_size,param_epochs,param_lr,param_seed
0,0.34375,49.79999923706055,1.600000023841858,17.5,0.081406369805336,0.07949826866388321,16.0,8.0,0.0004247681063134223,64862.0
1,0.10499999672174454,49.79999923706055,1.600000023841858,17.5,0.09337541460990906,0.09293513000011444,32.0,10.0,0.03482632339000702,63660.0
2,0.17749999463558197,49.70000076293945,1.600000023841858,17.5,0.08769277483224869,0.08910728245973587,16.0,7.0,0.007784727960824966,86919.0
3,0.2475000023841858,49.70000076293945,1.600000023841858,17.5,0.08578597009181976,0.08472706377506256,16.0,13.0,0.004497088026255369,19441.0
4,0.4137499928474426,49.900001525878906,1.600000023841858,17.5,0.0807352215051651,0.07680287957191467,16.0,8.0,0.0002878069644793868,67031.0
5,0.09875000268220901,49.79999923706055,1.600000023841858,17.5,0.09310843050479889,0.09131624549627304,16.0,12.0,0.017571695148944855,49946.0
6,0.42875000834465027,49.900001525878906,1.600000023841858,17.5,0.07717324048280716,0.07463064044713974,16.0,7.0,0.00012421187420841306,43802.0
7,0.2524999976158142,50.0,1.600000023841858,17.5,0.08545039594173431,0.08459461480379105,32.0,13.0,0.004248494748026133,58101.0
8,0.4468750059604645,49.79999923706055,1.600000023841858,17.5,0.06145188957452774,0.07469756156206131,16.0,10.0,0.0003791808558162302,9551.0
9,0.10468749701976776,50.0,1.600000023841858,17.5,0.09025144577026367,0.09000828117132187,32.0,12.0,0.015251388773322105,35687.0
